sequence	bank	text_id	kind	source_location	packed_bytes	japanese_exact	japanese_readable	mechanical_romaji	normalized_japanese_aid	current_english_exact	current_english_readable	source_controls	english_controls	control_match	script_profile	voice_dialect_register	orthography_kanji_katakana	comparison_flags	review_priority	proposed_retranslation	reviewer_notes
1135	TT6B	TT6B/g1/r11	scenario	group 1 @ 0xAC1E; record 11	group-compressed	いっぽうそのころ よぞらのほしにみちびかれて{CTRL:0}やはり べつれへむをめざす{CTRL:0}3にんの たびびとがいた	いっぽうそのころ よぞらのほしにみちびかれて ⟦CTRL:0⟧ やはり べつれへむをめざす ⟦CTRL:0⟧ 3にんの たびびとがいた	ippousonokoro yozoranohoshinimichibikarete / yahari betsurehemuomezasu / 3ninno tabibitogaita	いっぽうそのころ よぞらのほしにみちびかれてやはり べつれへむをめざす3にんの たびびとがいた	Meanwhile, a star guided{CTRL:0}three travelers toward{CTRL:0}Bethlehem.	Meanwhile, a star guided ⟦CTRL:0⟧ three travelers toward ⟦CTRL:0⟧ Bethlehem.	0,0	0,0	yes	hiragana:43; katakana:0; kanji:0; Latin:0; digits:1; phonetic hiragana orthography		べつれへむ → ベツレヘム (Bethlehem)	source numerals ['3']; verify dates/counts and Japanese ordering	low		
1136	TT6B	TT6B/g1/r12	scenario	group 1 @ 0xAC1E; record 12	group-compressed	……「あそこだ いそごう」	……「あそこだ いそごう」	……「asokoda isogou」	……「あそこだ いそごう」	Man: There! Hurry.	Man: There! Hurry.			yes	hiragana:8; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1137	TT6B	TT6B/g1/r13	scenario	group 1 @ 0xAC1E; record 13	group-compressed	やどや「へやはもう いっぱいだよ」{CTRL:0}よせふ「そこをなんとか…」{CTRL:2}やどや「ないものはないんだ みちばたに ねな」{CTRL:6}よせふ「おねがいです／{CTRL:4} こどもが うまれそうなんですよ」{CTRL:3}やどや「しょうがないなあ{CTRL:4} うまごやでよかったら かしてあげるよ」{CTRL:3}よせふ「ありがとうございます／」	やどや「へやはもう いっぱいだよ」 ⟦CTRL:0⟧ よせふ「そこをなんとか…」 ⟦CTRL:2⟧ やどや「ないものはないんだ みちばたに ねな」 ⟦CTRL:6⟧ よせふ「おねがいです／ ⟦CTRL:4⟧  こどもが うまれそうなんですよ」 ⟦CTRL:3⟧ やどや「しょうがないなあ ⟦CTRL:4⟧  うまごやでよかったら かしてあげるよ」 ⟦CTRL:3⟧ よせふ「ありがとうございます／」	yadoya「heyahamou ippaidayo」 / yosefu「sokoonantoka…」 / yadoya「naimonohanainda michibatani nena」 / yosefu「onegaidesu／ /  kodomoga umaresounandesuyo」 / yadoya「shouganainaa /  umagoyadeyokattara kashiteageruyo」 / yosefu「arigatougozaimasu／」	やどや「へやはもう いっぱいだよ」よせふ「そこをなんとか…」やどや「ないものはないんだ みちばたに ねな」よせふ「おねがいです／ こどもが うまれそうなんですよ」やどや「しょうがないなあ うまごやでよかったら かしてあげるよ」よせふ「ありがとうございます／」	Innkeeper: We are full.{CTRL:0}Joseph: Please...{CTRL:2}Innkeeper: Sleep outside{CTRL:6}Joseph: Please!{CTRL:4}Her baby is due now.{CTRL:3}Innkeeper: Very well.{CTRL:4}You may use the stable.{CTRL:3}Joseph: Thank you!	Innkeeper: We are full. ⟦CTRL:0⟧ Joseph: Please... ⟦CTRL:2⟧ Innkeeper: Sleep outside ⟦CTRL:6⟧ Joseph: Please! ⟦CTRL:4⟧ Her baby is due now. ⟦CTRL:3⟧ Innkeeper: Very well. ⟦CTRL:4⟧ You may use the stable. ⟦CTRL:3⟧ Joseph: Thank you!	0,2,6,4,3,4,3	0,2,6,4,3,4,3	yes	hiragana:107; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	やで: strong Kansai-style copula/emphasis	こども → 子供	ellipsis carries timing/hesitation tone	medium		
1138	TT6B	TT6B/g1/r14	scenario	group 1 @ 0xAC1E; record 14	group-compressed	……「ここのようですな」{CTRL:1}……「やっとついた……」	……「ここのようですな」 ⟦CTRL:1⟧ ……「やっとついた……」	……「kokonoyoudesuna」 / ……「yattotsuita……」	……「ここのようですな」……「やっとついた……」	Man: This is the place.{CTRL:1}Man: Here at last...	Man: This is the place. ⟦CTRL:1⟧ Man: Here at last...	1	1	yes	hiragana:14; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1139	TT6B	TT6B/g1/r15	scenario	group 1 @ 0xAC1E; record 15	group-compressed	けっこうひろいが ふけつ／	けっこうひろいが ふけつ／	kekkouhiroiga fuketsu／	けっこうひろいが ふけつ／	Spacious, but filthy!	Spacious, but filthy!			yes	hiragana:11; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1140	TT6B	TT6B/g1/r16	scenario	group 1 @ 0xAC1E; record 16	group-compressed	まりあのかみを やさしくなでている	まりあのかみを やさしくなでている	marianokamio yasashikunadeteiru	まりあのかみを やさしくなでている	He strokes Mary's hair.	He strokes Mary's hair.			yes	hiragana:16; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1141	TT6B	TT6B/g1/r17	scenario	group 1 @ 0xAC1E; record 17	group-compressed	つきあかりをあびた そのかおは{CTRL:0}てんしのように うつくしい	つきあかりをあびた そのかおは ⟦CTRL:0⟧ てんしのように うつくしい	tsukiakarioabita sonokaoha / tenshinoyouni utsukushii	つきあかりをあびた そのかおはてんしのように うつくしい	Moonlight on her face.{CTRL:0}Lovely as an angel.	Moonlight on her face. ⟦CTRL:0⟧ Lovely as an angel.	0	0	yes	hiragana:26; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1142	TT6B	TT6B/g1/r18	scenario	group 1 @ 0xAC1E; record 18	group-compressed	ほしくさが やまもりになっている	ほしくさが やまもりになっている	hoshikusaga yamamorininatteiru	ほしくさが やまもりになっている	Hay is piled high.	Hay is piled high.			yes	hiragana:15; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1143	TT6B	TT6B/g1/r19	scenario	group 1 @ 0xAC1E; record 19	group-compressed	ほしくさは もうない	ほしくさは もうない	hoshikusaha mounai	ほしくさは もうない	No hay remains.	No hay remains.			yes	hiragana:9; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1144	TT6B	TT6B/g1/r20	scenario	group 1 @ 0xAC1E; record 20	group-compressed	めすうまだ…… けっこう ちゃーみんぐ／	めすうまだ…… けっこう ちゃーみんぐ／	mesuumada…… kekkou chaamingu／	めすうまだ…… けっこう ちゃーみんぐ／	A mare. Quite charming!	A mare. Quite charming!			yes	hiragana:14; katakana:1; kanji:0; Latin:0; digits:0		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1145	TT6B	TT6B/g1/r21	scenario	group 1 @ 0xAC1E; record 21	group-compressed	めがきょろきょろして おちつきがない	めがきょろきょろして おちつきがない	megakyorokyoroshite ochitsukiganai	めがきょろきょろして おちつきがない	Her eyes dart around.	Her eyes dart around.			yes	hiragana:17; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1146	TT6B	TT6B/g1/r22	scenario	group 1 @ 0xAC1E; record 22	group-compressed	とっつきにくそうな やつだな{CTRL:0}うし「あーーんだ もんくあっか」	とっつきにくそうな やつだな ⟦CTRL:0⟧ うし「あーーんだ もんくあっか」	tottsukinikusouna yatsudana / ushi「aaanda monkuakka」	とっつきにくそうな やつだなうし「あーーんだ もんくあっか」	He looks unfriendly.{CTRL:0}Cow: You got a problem?	He looks unfriendly. ⟦CTRL:0⟧ Cow: You got a problem?	0	0	yes	hiragana:24; katakana:2; kanji:0; Latin:0; digits:0		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1147	TT6B	TT6B/g1/r23	scenario	group 1 @ 0xAC1E; record 23	group-compressed	うーーん これはまちがいなく……{CTRL:0}うし「くそは くそだべー」	うーーん これはまちがいなく…… ⟦CTRL:0⟧ うし「くそは くそだべー」	uuun korehamachigainaku…… / ushi「kusoha kusodabee」	うーーん これはまちがいなく……うし「くそは くそだべー」	This can only be...{CTRL:0}Cow: Dung is dung.	This can only be... ⟦CTRL:0⟧ Cow: Dung is dung.	0	0	yes	hiragana:20; katakana:3; kanji:0; Latin:0; digits:0	だべ: Tohoku/rural-coded conjectural ending	Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1148	TT6B	TT6B/g1/r24	scenario	group 1 @ 0xAC1E; record 24	group-compressed	おれ「ひひーん」	おれ「ひひーん」	ore「hihiin」	おれ「ひひーん」	Me: Hee-haw.	Me: Hee-haw.			yes	hiragana:5; katakana:1; kanji:0; Latin:0; digits:0	おれ: plain-to-rough masculine first person	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1149	TT6B	TT6B/g1/r25	scenario	group 1 @ 0xAC1E; record 25	group-compressed	めすうま「ろーまがなにさ／ そのうちに{CTRL:0} おちぶれるときが きっとくるわ」	めすうま「ろーまがなにさ／ そのうちに ⟦CTRL:0⟧  おちぶれるときが きっとくるわ」	mesuuma「roomagananisa／ sonouchini /  ochiburerutokiga kittokuruwa」	めすうま「ろーまがなにさ／ そのうちに おちぶれるときが きっとくるわ」	Mare: Rome? Who cares?{CTRL:0}Its downfall will come.	Mare: Rome? Who cares? ⟦CTRL:0⟧ Its downfall will come.	0	0	yes	hiragana:29; katakana:1; kanji:0; Latin:0; digits:0		ろーま → ローマ (Rome)		low		
1150	TT6B	TT6B/g1/r26	scenario	group 1 @ 0xAC1E; record 26	group-compressed	めすうま「なれなれしく しないでね{CTRL:0} あなたとは みぶんがちがうんだから」	めすうま「なれなれしく しないでね ⟦CTRL:0⟧  あなたとは みぶんがちがうんだから」	mesuuma「narenareshiku shinaidene /  anatatoha mibungachigaundakara」	めすうま「なれなれしく しないでね あなたとは みぶんがちがうんだから」	Mare: Keep away from me.{CTRL:0}Our social ranks differ.	Mare: Keep away from me. ⟦CTRL:0⟧ Our social ranks differ.	0	0	yes	hiragana:31; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1151	TT6B	TT6B/g1/r27	scenario	group 1 @ 0xAC1E; record 27	group-compressed	"ひつじ「とおい ひがしのくににはな……{CTRL:0} ""まふうじのつぼ"" というなの{CTRL:0} あくまをとじこめる うつわがあるそうじゃ」"	"ひつじ「とおい ひがしのくににはな…… ⟦CTRL:0⟧  ""まふうじのつぼ"" というなの ⟦CTRL:0⟧  あくまをとじこめる うつわがあるそうじゃ」"	"hitsuji「tooi higashinokuninihana…… /  ""mafuujinotsubo"" toiunano /  akumaotojikomeru utsuwagaarusouja」"	"ひつじ「とおい ひがしのくににはな…… ""まふうじのつぼ"" というなの あくまをとじこめる うつわがあるそうじゃ」"	Sheep: Far in the East{CTRL:0}is a Magic-Sealing Jar{CTRL:0}said to imprison devils.	Sheep: Far in the East ⟦CTRL:0⟧ is a Magic-Sealing Jar ⟦CTRL:0⟧ said to imprison devils.	0,0	0,0	yes	hiragana:46; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	あくま → 悪魔	ellipsis carries timing/hesitation tone	medium		
1152	TT6B	TT6B/g1/r28	scenario	group 1 @ 0xAC1E; record 28	group-compressed	ひつじ「ぎもんは あらゆるちえの かぎとなる{CTRL:0} ……あらぶの ふるいことわざじゃ」	ひつじ「ぎもんは あらゆるちえの かぎとなる ⟦CTRL:0⟧  ……あらぶの ふるいことわざじゃ」	hitsuji「gimonha arayuruchieno kagitonaru /  ……arabuno furuikotowazaja」	ひつじ「ぎもんは あらゆるちえの かぎとなる ……あらぶの ふるいことわざじゃ」	Sheep: Doubt is the key{CTRL:0}to wisdom. Arab proverb.	Sheep: Doubt is the key ⟦CTRL:0⟧ to wisdom. Arab proverb.	0	0	yes	hiragana:32; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1153	TT6B	TT6B/g1/r29	scenario	group 1 @ 0xAC1E; record 29	group-compressed	ひつじ「あのな… こんなことしっちょるか！」	ひつじ「あのな… こんなことしっちょるか！」	hitsuji「anona… konnakotoshitchoruka！」	ひつじ「あのな… こんなことしっちょるか！」	Sheep: Do you know this?	Sheep: Do you know this?			yes	hiragana:17; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1154	TT6B	TT6B/g1/r30	scenario	group 1 @ 0xAC1E; record 30	group-compressed	{CTRL:0}{CTRL:0}へびにそそのかされ えばが くちにしたものは！	⟦CTRL:0⟧  ⟦CTRL:0⟧ へびにそそのかされ えばが くちにしたものは！	 /  / hebinisosonokasare ebaga kuchinishitamonoha！	へびにそそのかされ えばが くちにしたものは！	{CTRL:0}{CTRL:0}What did Eve eat?	⟦CTRL:0⟧  ⟦CTRL:0⟧ What did Eve eat?	0,0	0,0	yes	hiragana:20; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1155	TT6B	TT6B/g1/r31	scenario	group 1 @ 0xAC1E; record 31	group-compressed	ひつじ「せいかいじゃ ならばこれはどうだ！」	ひつじ「せいかいじゃ ならばこれはどうだ！」	hitsuji「seikaija narabakorehadouda！」	ひつじ「せいかいじゃ ならばこれはどうだ！」	Sheep: Right. Next one!	Sheep: Right. Next one!			yes	hiragana:18; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1156	TT6B	TT6B/g2/r0	scenario	group 2 @ 0xAF60; record 0	group-compressed	{CTRL:0}{CTRL:0}ゆだやきょうがみとめる ただひとつのかみ とは！	⟦CTRL:0⟧  ⟦CTRL:0⟧ ゆだやきょうがみとめる ただひとつのかみ とは！	 /  / yudayakyougamitomeru tadahitotsunokami toha！	ゆだやきょうがみとめる ただひとつのかみ とは！	{CTRL:0}{CTRL:0}Judaism's sole God?	⟦CTRL:0⟧  ⟦CTRL:0⟧ Judaism's sole God?	0,0	0,0	yes	hiragana:21; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1157	TT6B	TT6B/g2/r1	scenario	group 2 @ 0xAF60; record 1	group-compressed	{CTRL:0}{CTRL:0}もーぜが いすらえるびとをひきつれて{CTRL:0}だっしゅつした くには！	⟦CTRL:0⟧  ⟦CTRL:0⟧ もーぜが いすらえるびとをひきつれて ⟦CTRL:0⟧ だっしゅつした くには！	 /  / moozega isuraerubitoohikitsurete / dasshutsushita kuniha！	もーぜが いすらえるびとをひきつれてだっしゅつした くには！	{CTRL:0}{CTRL:0}Moses led Israelites out{CTRL:0}of which country?	⟦CTRL:0⟧  ⟦CTRL:0⟧ Moses led Israelites out ⟦CTRL:0⟧ of which country?	0,0,0	0,0,0	yes	hiragana:26; katakana:1; kanji:0; Latin:0; digits:0		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1158	TT6B	TT6B/g2/r2	scenario	group 2 @ 0xAF60; record 2	group-compressed	{CTRL:0}{CTRL:0}えるされむに けんらんごうかなしんでんを{CTRL:0}つくった ゆだやのおうは！	⟦CTRL:0⟧  ⟦CTRL:0⟧ えるされむに けんらんごうかなしんでんを ⟦CTRL:0⟧ つくった ゆだやのおうは！	 /  / erusaremuni kenrangoukanashindeno / tsukutta yudayanoouha！	えるされむに けんらんごうかなしんでんをつくった ゆだやのおうは！	{CTRL:0}{CTRL:0}Which Jewish king built{CTRL:0}Jerusalem's temple?	⟦CTRL:0⟧  ⟦CTRL:0⟧ Which Jewish king built ⟦CTRL:0⟧ Jerusalem's temple?	0,0,0	0,0,0	yes	hiragana:30; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		えるされむ → エルサレム (Jerusalem)		low		
1159	TT6B	TT6B/g2/r3	scenario	group 2 @ 0xAF60; record 3	group-compressed	{CTRL:0}{CTRL:0}すくいぬしを しめす「あぶらを そそがれたもの」{CTRL:0}という いみのことばは！	⟦CTRL:0⟧  ⟦CTRL:0⟧ すくいぬしを しめす「あぶらを そそがれたもの」 ⟦CTRL:0⟧ という いみのことばは！	 /  / sukuinushio shimesu「aburao sosogaretamono」 / toiu iminokotobaha！	すくいぬしを しめす「あぶらを そそがれたもの」という いみのことばは！	"{CTRL:0}{CTRL:0}What word for Savior{CTRL:0}means ""anointed one""?"	"⟦CTRL:0⟧  ⟦CTRL:0⟧ What word for Savior ⟦CTRL:0⟧ means ""anointed one""?"	0,0,0	0,0,0	yes	hiragana:30; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		ことば → 言葉		low		
1160	TT6B	TT6B/g2/r4	scenario	group 2 @ 0xAF60; record 4	group-compressed	ひつじ「せいかいじゃ{CTRL:1} ぜんもんせいかいとは やるもんじゃ」	ひつじ「せいかいじゃ ⟦CTRL:1⟧  ぜんもんせいかいとは やるもんじゃ」	hitsuji「seikaija /  zenmonseikaitoha yarumonja」	ひつじ「せいかいじゃ ぜんもんせいかいとは やるもんじゃ」	Sheep: Correct!{CTRL:1}Every answer was right.	Sheep: Correct! ⟦CTRL:1⟧ Every answer was right.	1	1	yes	hiragana:25; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1161	TT6B	TT6B/g2/r5	scenario	group 2 @ 0xAF60; record 5	group-compressed	ひつじ「あほ」	ひつじ「あほ」	hitsuji「aho」	ひつじ「あほ」	Sheep: Fool.	Sheep: Fool.			yes	hiragana:5; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1162	TT6B	TT6B/g2/r6	scenario	group 2 @ 0xAF60; record 6	group-compressed	うし「むずかしいこたぁ わがんねーけどよーー{CTRL:0} なーんか とんでもねえことが おこりそうだなー{CTRL:2} やせいの かんってやつだべかなーー」	うし「むずかしいこたぁ わがんねーけどよーー ⟦CTRL:0⟧  なーんか とんでもねえことが おこりそうだなー ⟦CTRL:2⟧  やせいの かんってやつだべかなーー」	ushi「muzukashiikotaa waganneekedoyooo /  naanka tondemoneekotoga okorisoudanaa /  yaseino kantteyatsudabekanaaa」	うし「むずかしいこたぁ わがんねーけどよーー なーんか とんでもねえことが おこりそうだなー やせいの かんってやつだべかなーー」	Cow: Dunno much, but{CTRL:0}something big is coming.{CTRL:2}Must be animal instinct.	Cow: Dunno much, but ⟦CTRL:0⟧ something big is coming. ⟦CTRL:2⟧ Must be animal instinct.	0,2	0,2	yes	hiragana:50; katakana:7; kanji:0; Latin:0; digits:0	だべ: Tohoku/rural-coded conjectural ending	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1163	TT6B	TT6B/g2/r7	scenario	group 2 @ 0xAF60; record 7	group-compressed	うし「なぁーーんちゅーか{CTRL:1} かぁーーんちゅーか{CTRL:2} はっきりいって{CTRL:6} はええはなしがよぉーー」	うし「なぁーーんちゅーか ⟦CTRL:1⟧  かぁーーんちゅーか ⟦CTRL:2⟧  はっきりいって ⟦CTRL:6⟧  はええはなしがよぉーー」	ushi「naaaanchuuka /  kaaaanchuuka /  hakkiriitte /  haeehanashigayoooo」	うし「なぁーーんちゅーか かぁーーんちゅーか はっきりいって はええはなしがよぉーー」	Cow: How can I put it...{CTRL:1}what can I say...{CTRL:2}to be clear...{CTRL:6}long story short...	Cow: How can I put it... ⟦CTRL:1⟧ what can I say... ⟦CTRL:2⟧ to be clear... ⟦CTRL:6⟧ long story short...	1,2,6	1,2,6	yes	hiragana:30; katakana:8; kanji:0; Latin:0; digits:0		はなし → 話		low		
1164	TT6B	TT6B/g2/r8	scenario	group 2 @ 0xAF60; record 8	group-compressed	な なんてかったるいやつだ……	な なんてかったるいやつだ……	na nantekattaruiyatsuda……	な なんてかったるいやつだ……	Wh-what a tedious guy...	Wh-what a tedious guy...			yes	hiragana:12; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1165	TT6B	TT6B/g2/r9	scenario	group 2 @ 0xAF60; record 9	group-compressed	ただでさえ はらいっぱいで{CTRL:0}ねむたくなってるときに……	ただでさえ はらいっぱいで ⟦CTRL:0⟧ ねむたくなってるときに……	tadadesae haraippaide / nemutakunatterutokini……	ただでさえ はらいっぱいでねむたくなってるときに……	I am full already,{CTRL:0}and getting sleepy...	I am full already, ⟦CTRL:0⟧ and getting sleepy...	0	0	yes	hiragana:23; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1166	TT6B	TT6B/g2/r10	scenario	group 2 @ 0xAF60; record 10	group-compressed	たくさんいるわりに しずかだ	たくさんいるわりに しずかだ	takusaniruwarini shizukada	たくさんいるわりに しずかだ	Many animals, yet quiet.	Many animals, yet quiet.			yes	hiragana:13; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1167	TT6B	TT6B/g2/r11	scenario	group 2 @ 0xAF60; record 11	group-compressed	よせふ「がんばれ まりあ」{CTRL:0}まりあ「ええ……」	よせふ「がんばれ まりあ」 ⟦CTRL:0⟧ まりあ「ええ……」	yosefu「ganbare maria」 / maria「ee……」	よせふ「がんばれ まりあ」まりあ「ええ……」	Joseph: Be strong, Mary.{CTRL:0}Mary: Yes...	Joseph: Be strong, Mary. ⟦CTRL:0⟧ Mary: Yes...	0	0	yes	hiragana:15; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1168	TT6B	TT6B/g2/r12	scenario	group 2 @ 0xAF60; record 12	group-compressed	よせふ「かみさま どうかぶじに……」	よせふ「かみさま どうかぶじに……」	yosefu「kamisama doukabujini……」	よせふ「かみさま どうかぶじに……」	Joseph: God, save her.	Joseph: God, save her.			yes	hiragana:13; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	さま: -sama: high respect, worship, status, or irony	かみさま → 神様	ellipsis carries timing/hesitation tone	medium		
1169	TT6B	TT6B/g2/r13	scenario	group 2 @ 0xAF60; record 13	group-compressed	なにを！	なにを！	nanio！	なにを！	What?!	What?!			yes	hiragana:3; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1170	TT6B	TT6B/g2/r14	scenario	group 2 @ 0xAF60; record 14	group-compressed	めすうま「ちょっと／	めすうま「ちょっと／	mesuuma「chotto／	めすうま「ちょっと／	Mare: Hey!	Mare: Hey!			yes	hiragana:8; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1171	TT6B	TT6B/g2/r15	scenario	group 2 @ 0xAF60; record 15	group-compressed	{CTRL:0} かってに たべないでくれる！」	⟦CTRL:0⟧  かってに たべないでくれる！」	 /  katteni tabenaidekureru！」	 かってに たべないでくれる！」	{CTRL:0}Do not eat it unasked!	⟦CTRL:0⟧ Do not eat it unasked!	0	0	yes	hiragana:12; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1172	TT6B	TT6B/g2/r16	scenario	group 2 @ 0xAF60; record 16	group-compressed	めすうま「いいわよ たべても」	めすうま「いいわよ たべても」	mesuuma「iiwayo tabetemo」	めすうま「いいわよ たべても」	Mare: You may eat it.	Mare: You may eat it.			yes	hiragana:12; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1173	TT6B	TT6B/g2/r17	scenario	group 2 @ 0xAF60; record 17	group-compressed	{CTRL:0}おれ「おー でりしゃす／ ふがが…ふがふが／」	⟦CTRL:0⟧ おれ「おー でりしゃす／ ふがが…ふがふが／」	 / ore「oo derishasu／ fugaga…fugafuga／」	おれ「おー でりしゃす／ ふがが…ふがふが／」	{CTRL:0}Me: Delicious! Munch!	⟦CTRL:0⟧ Me: Delicious! Munch!	0	0	yes	hiragana:15; katakana:1; kanji:0; Latin:0; digits:0	おれ: plain-to-rough masculine first person	Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1174	TT6B	TT6B/g2/r18	scenario	group 2 @ 0xAF60; record 18	group-compressed	めすうま「ちびちびたべてないで いっぺんに{CTRL:0} どーんといきなさいよ どーんと／」{CTRL:2}おれ「は はい…」	めすうま「ちびちびたべてないで いっぺんに ⟦CTRL:0⟧  どーんといきなさいよ どーんと／」 ⟦CTRL:2⟧ おれ「は はい…」	mesuuma「chibichibitabetenaide ippenni /  doontoikinasaiyo doonto／」 / ore「ha hai…」	めすうま「ちびちびたべてないで いっぺんに どーんといきなさいよ どーんと／」おれ「は はい…」	Mare: Do not nibble.{CTRL:0}Eat it all at once!{CTRL:2}Me: Y-yes...	Mare: Do not nibble. ⟦CTRL:0⟧ Eat it all at once! ⟦CTRL:2⟧ Me: Y-yes...	0,2	0,2	yes	hiragana:36; katakana:2; kanji:0; Latin:0; digits:0	おれ: plain-to-rough masculine first person	Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1175	TT6B	TT6B/g2/r19	scenario	group 2 @ 0xAF60; record 19	group-compressed	おれ「ががががっ／ はぐはぐっ／」	おれ「ががががっ／ はぐはぐっ／」	ore「gagagaga／ hhaguhagu／」	おれ「ががががっ／ はぐはぐっ／」	Me: Chomp! Munch, munch!	Me: Chomp! Munch, munch!			yes	hiragana:12; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おれ: plain-to-rough masculine first person	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1176	TT6B	TT6B/g2/r20	scenario	group 2 @ 0xAF60; record 20	group-compressed	おれ「ごちそうさまでした」	おれ「ごちそうさまでした」	ore「gochisousamadeshita」	おれ「ごちそうさまでした」	Me: Thanks for the meal.	Me: Thanks for the meal.			yes	hiragana:11; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おれ: plain-to-rough masculine first person	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1177	TT6B	TT6B/g2/r21	scenario	group 2 @ 0xAF60; record 21	group-compressed	はらいっぱいで もうくえない	はらいっぱいで もうくえない	haraippaide moukuenai	はらいっぱいで もうくえない	I am too full to eat.	I am too full to eat.			yes	hiragana:13; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
